DateRec	Name_No_Spaces	Project_No_Spaces	UFID_No_Spaces
20160331	V_2130309_Plate5_A01	MAB_BRA	2130309
20160331	V_2130326_Plate5_B01	MAB_BRA	2130326
20160331	V_2130336_Plate5_C01	MAB_BRA	2130336
20160331	V_2130350_Plate5_D01	MAB_BRA	2130350
20160331	V_2130352_Plate5_E01	MAB_BRA	2130352
20160331	V_2130356_Plate5_F01	MAB_BRA	2130356
20160331	V_2130358_Plate5_G01	MAB_BRA	2130358
20160331	V_3109369_Plate5_H01	MAB_BRA	3109369
20160331	V_3119025_Plate5_A02	MAB_BRA	3119025
20160331	V_3130004_Plate5_B02	MAB_BRA	3130004
20160331	V_3130012_Plate5_C02	MAB_BRA	3130012
20160331	V_3130014_Plate5_D02	MAB_BRA	3130014
20160331	V_3130020_Plate5_E02	MAB_BRA	3130020
20160331	V_3130025_Plate5_F02	MAB_BRA	3130025
20160331	V_3130027_Plate5_G02	MAB_BRA	3130027
20160331	V_3130029_Plate5_H02	MAB_BRA	3130029
20160331	V_3130030_Plate5_A03	MAB_BRA	3130030
20160331	V_3130031_Plate5_B03	MAB_BRA	3130031
20160331	V_3130041_Plate5_C03	MAB_BRA	3130041
20160331	V_3130045_Plate5_D03	MAB_BRA	3130045
20160331	V_3130050_Plate5_E03	MAB_BRA	3130050
20160331	V_3130051_Plate5_F03	MAB_BRA	3130051
20160331	V_3130059_Plate5_G03	MAB_BRA	3130059
20160331	V_3130060_Plate5_H03	MAB_BRA	3130060
20160331	V_3130061_Plate5_A04	MAB_BRA	3130061
20160331	V_3130067_Plate5_B04	MAB_BRA	3130067
20160331	V_3130068_Plate5_C04	MAB_BRA	3130068
20160331	V_3130069_Plate5_D04	MAB_BRA	3130069
20160331	V_3130071_Plate5_E04	MAB_BRA	3130071
20160331	V_3130078_Plate5_F04	MAB_BRA	3130078
20160331	V_3130079_Plate5_G04	MAB_BRA	3130079
20160331	V_3130085_Plate5_H04	MAB_BRA	3130085
20160331	V_3130092_Plate5_A05	MAB_BRA	3130092
20160331	V_3130096_Plate5_B05	MAB_BRA	3130096
20160331	V_3130099_Plate5_C05	MAB_BRA	3130099
20160331	V_3130100_Plate5_D05	MAB_BRA	3130100
20160331	V_3130102_Plate5_E05	MAB_BRA	3130102
20160331	V_3130103_Plate5_F05	MAB_BRA	3130103
20160331	V_3130104_Plate5_G05	MAB_BRA	3130104
20160331	V_3130106_Plate5_H05	MAB_BRA	3130106
20160331	V_3130107_Plate5_A06	MAB_BRA	3130107
20160331	V_3130111_Plate5_B06	MAB_BRA	3130111
20160331	V_3130114_Plate5_C06	MAB_BRA	3130114
20160331	V_3130115_Plate5_D06	MAB_BRA	3130115
20160331	V_3130116_Plate5_E06	MAB_BRA	3130116
20160331	V_3130118_Plate5_F06	MAB_BRA	3130118
20160331	V_3130120_Plate5_G06	MAB_BRA	3130120
20160331	V_3130124_Plate5_H06	MAB_BRA	3130124
20160331	V_3130128_Plate5_A07	MAB_BRA	3130128
20160331	V_3130131_Plate5_B07	MAB_BRA	3130131
20160331	V_3130138_Plate5_C07	MAB_BRA	3130138
20160331	V_3130139_Plate5_D07	MAB_BRA	3130139
20160331	V_3130142_Plate5_E07	MAB_BRA	3130142
20160331	V_3130147_Plate5_F07	MAB_BRA	3130147
20160331	V_3130150_Plate5_G07	MAB_BRA	3130150
20160331	V_3130154_Plate5_H07	MAB_BRA	3130154
20160331	V_3130157_Plate5_A08	MAB_BRA	3130157
20160331	V_3130162_Plate5_B08	MAB_BRA	3130162
20160331	V_3130163_Plate5_C08	MAB_BRA	3130163
20160331	V_3130165_Plate5_D08	MAB_BRA	3130165
20160331	V_3130170_Plate5_E08	MAB_BRA	3130170
20160331	V_3130181_Plate5_F08	MAB_BRA	3130181
20160331	V_3130182_Plate5_G08	MAB_BRA	3130182
20160331	V_3130187_Plate5_H08	MAB_BRA	3130187
20160331	V_3130192_Plate5_A09	MAB_BRA	3130192
20160331	V_3130193_Plate5_B09	MAB_BRA	3130193
20160331	V_3130194_Plate5_C09	MAB_BRA	3130194
20160331	V_3130197_Plate5_D09	MAB_BRA	3130197
20160331	V_3130204_Plate5_E09	MAB_BRA	3130204
20160331	V_3130208_Plate5_F09	MAB_BRA	3130208
20160331	V_3130212_Plate5_G09	MAB_BRA	3130212
20160331	V_3130213_Plate5_H09	MAB_BRA	3130213
20160331	V_3130216_Plate5_A10	MAB_BRA	3130216
20160331	V_3130219_Plate5_B10	MAB_BRA	3130219
